#,title,videoUrl,videoId,publishedAt,position
67,mod10lec66,https://www.youtube.com/watch?v=v3ou7b0zyRA&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=67,v3ou7b0zyRA,2020-03-29T11:29:06Z,66
68,mod10lec67,https://www.youtube.com/watch?v=u58czzXLxIo&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=68,u58czzXLxIo,2020-03-29T11:40:29Z,67
69,mod10lec68,https://www.youtube.com/watch?v=o1RlRaNzDVg&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=69,o1RlRaNzDVg,2020-03-29T12:07:35Z,68
70,mod10lec69,https://www.youtube.com/watch?v=j4EPSUBXytk&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=70,j4EPSUBXytk,2020-03-29T12:12:28Z,69
71,mod10lec68,https://www.youtube.com/watch?v=eCUm03eGUG0&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=71,eCUm03eGUG0,2020-03-30T13:00:17Z,70
72,mod10lec70,https://www.youtube.com/watch?v=Vawx8vfwC3E&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=72,Vawx8vfwC3E,2020-03-30T13:00:17Z,71
73,mod10lec71,https://www.youtube.com/watch?v=jJgP1MIZU_4&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=73,jJgP1MIZU_4,2020-03-30T13:00:17Z,72
74,mod10lec72,https://www.youtube.com/watch?v=n2b9oIY5ez0&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=74,n2b9oIY5ez0,2020-03-30T13:00:17Z,73
75,mod10lec73,https://www.youtube.com/watch?v=jxNnmFrXh-c&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=75,jxNnmFrXh-c,2020-03-30T13:00:17Z,74
76,mod10lec74,https://www.youtube.com/watch?v=FJhn53kTzT0&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=76,FJhn53kTzT0,2020-03-30T13:00:17Z,75
77,mod10lec75,https://www.youtube.com/watch?v=SoqwVqoXoSA&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=77,SoqwVqoXoSA,2020-03-30T13:00:17Z,76
78,mod11lec76,https://www.youtube.com/watch?v=SCrKLxQX6Z0&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=78,SCrKLxQX6Z0,2020-03-31T08:48:39Z,77
79,mod11lec77,https://www.youtube.com/watch?v=6oGhG6vcFRo&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=79,6oGhG6vcFRo,2020-03-31T08:48:39Z,78
80,mod11lec78,https://www.youtube.com/watch?v=kj0dMaWFE70&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=80,kj0dMaWFE70,2020-03-31T08:48:39Z,79
81,mod11lec79,https://www.youtube.com/watch?v=ppkVs9VnqW4&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=81,ppkVs9VnqW4,2020-03-31T08:48:39Z,80
82,mod11lec80,https://www.youtube.com/watch?v=8rsZI9XK1aI&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=82,8rsZI9XK1aI,2020-03-31T08:48:39Z,81
83,mod11lec81,https://www.youtube.com/watch?v=ooPIo-1Kh_U&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=83,ooPIo-1Kh_U,2020-03-31T08:48:39Z,82
84,mod11lec82,https://www.youtube.com/watch?v=33Je0fmsZPg&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=84,33Je0fmsZPg,2020-03-31T08:48:39Z,83
85,mod11lec83,https://www.youtube.com/watch?v=ywcYi6zBISU&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=85,ywcYi6zBISU,2020-03-31T08:48:39Z,84
86,mod12lec84,https://www.youtube.com/watch?v=9vaB1ypdL9g&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=86,9vaB1ypdL9g,2020-03-31T10:16:11Z,85
87,mod12lec85,https://www.youtube.com/watch?v=ZPfTc9SFpbk&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=87,ZPfTc9SFpbk,2020-03-31T10:16:11Z,86
88,mod12lec86,https://www.youtube.com/watch?v=ZrTvlzIgeLo&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=88,ZrTvlzIgeLo,2020-03-31T10:16:12Z,87
89,mod12lec87,https://www.youtube.com/watch?v=At3YyO3Y2gI&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=89,At3YyO3Y2gI,2020-03-31T10:16:12Z,88
90,mod12lec88,https://www.youtube.com/watch?v=7od609mb8a0&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=90,7od609mb8a0,2020-03-31T10:16:12Z,89
91,mod12lec89,https://www.youtube.com/watch?v=LWsXdcMPQpE&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=91,LWsXdcMPQpE,2020-03-31T10:16:11Z,90
92,mod12lec90,https://www.youtube.com/watch?v=JZZ5Bd7SQPE&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=92,JZZ5Bd7SQPE,2020-03-31T10:16:12Z,91
93,mod12lec91,https://www.youtube.com/watch?v=50cRa75WDS0&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=93,50cRa75WDS0,2020-03-31T10:16:12Z,92
94,mod12lec92,https://www.youtube.com/watch?v=B6fhiaHZYEM&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=94,B6fhiaHZYEM,2020-03-31T10:16:12Z,93
